concept_name,concept_type,ticket_count,doc_score,doc_page_count,doc_urls,coverage_class
Direct SQL,data,56,12.5,9,404186|118741|403111|113615|113254|404405|DevExpress.ExpressApp.Updating.ModuleUpdater|DevExpress.ExpressApp.Security.ClientServer.SecuredObjectSpaceProvider.AllowICommandChannelDoWithSecurityContext|DevExpress.ExpressApp.ApplicationBuilder.SecuredXPObjectSpaceProviderOptions.AllowICommandChannelDoWithSecurityContext,well_covered
Report Parameters,reporting,52,35.5,15,404176|113259|113142|114454|114451|113601|113594|DevExpress.Persistent.BaseImpl.EF.ReportDataV2.ParametersObjectType|DevExpress.Persistent.BaseImpl.ReportDataV2.ParametersObjectType|DevExpress.ExpressApp.ReportsV2.Win.ReportsWindowsFormsModuleV2,well_covered
Layout Runtime Customization,ui,48,10.0,18,112612|113653|113652|120092|113695|404353|112817|114159|113142|113141,well_covered
Built-in Actions,ui,47,11.2,15,112623|113016|113484|403709|113142|113141|404633|112792|DevExpress.ExpressApp.SystemModule.DialogController.Accepting|DevExpress.ExpressApp.Model.IModelMemberViewItem.View,well_covered
Tree List,ui,45,20.6,34,403179|113198|112841|404967|402154|113683|120092|113142|113335|113328,well_covered
Reports V2,module,45,27.0,40,113198|404967|404695|113259|113142|404243|113645|113595|113593|116114,well_covered
Custom Validation Rules,validation,44,49.0,34,404223|113178|113251|113051|113010|113259|113685|DevExpress.Persistent.Validation.IRule|DevExpress.Persistent.Validation.IRuleBaseProperties|DevExpress.Persistent.Validation.IRuleCollectionPropertyProperties,well_covered
Package Management,setup,43,69.5,52,403394|404186|113302|117449|403561|404262|404449|404176|404223|403389,well_covered
Modules,architecture,42,26.2,29,403179|113286|405693|112569|113011|403561|112571|113301|405693|112559,well_covered
Conditional Appearance,module,38,72.6,110,113286|112670|404186|116516|117395|113371|113372|113374|404967|113054,well_covered
Spreadsheet Control,ui,35,23.0,11,119411|113297|113142|113306|113576|118046|DevExpress.ExpressApp.Win.Editors.WinPropertyEditor.ControlBindingProperty|DevExpress.ExpressApp.Office.Win.IModelWinOfficeMenuManagerSettings|DevExpress.ExpressApp.Office.Win.IModelWinOfficeMenuManagerSettings.MenuManagerType|DevExpress.ExpressApp.Office.Win.ISpreadsheetValueStorage,well_covered
SVG Graphics,ui,34,7.5,6,118084|113156|112792|113215|DevExpress.ExpressApp.Utils.ImageLoader.UseSvgImages|DevExpress.ExpressApp.Editors.StaticImage,well_covered
Threading Issues,troubleshooting,31,9.0,14,113299|405253|118450|112618|113706|113351|113649|DevExpress.Persistent.Base.ReportsV2.DataSourceBase.EnableAsyncLoading|DevExpress.ExpressApp.Win.WinApplication.RunSetupInNewThread|DevExpress.ExpressApp.CustomizeFormattingCultureEventArgs,well_covered
Assembly References,setup,29,9.5,5,113238|405736|113236|113232|403922,well_covered
Template Kit,tooling,25,165.0,115,403394|113286|405693|404186|112569|403068|404488|403413|403401|404262,well_covered
.NET Runtime,runtime,23,292.6,494,404762|403179|403394|113286|112691|113577|405693|113684|404186|113302,well_covered
ApplicationBuilder,architecture,22,343.5,144,113286|113684|113302|117449|113303|113011|403551|404262|404176|404223,well_covered
Context Menus,ui,22,141.0,88,405693|113302|113011|403858|112701|113372|112781|113297|405693|112559,well_covered
XAF Application,architecture,20,140.4,207,403179|113286|113708|112691|113577|113298|405693|113684|113303|403068,well_covered
Tree Node Interface,interfaces,18,4.0,4,403179|112841|112810|112837,over_documented
Optimistic Locking,data,14,7.8,12,404186|112600|113141|405384|113596|DevExpress.Persistent.BaseImpl.BaseObject|DevExpress.ExpressApp.EFCore.EFCoreObjectSpace.OptimisticLockHandling|DevExpress.ExpressApp.EFCore.EFCoreObjectSpaceProvider`1.OptimisticLockHandling|DevExpress.ExpressApp.DC.OptimisticLockAttribute|DevExpress.ExpressApp.DC.OptimisticLockAttribute.OptimisticLockHandling,over_documented
Blazor,Platform,0,1202.5,739,404762|403179|403394|113664|113286|112691|112670|113577|405693|404436,over_documented
WinForms,Platform,0,1047.0,694,404762|403179|403394|113664|113286|112691|112670|113577|113298|405693,over_documented
Application Model,ui,0,645.0,865,403394|113286|112998|112638|404186|113302|117449|113303|113445|403068,over_documented
Controllers and Actions,ui,0,31.0,18,112623|112622|113016|112621|112676|113103|113484|120092|112728|113142,over_documented
Frames,ui,0,40.0,26,404762|112638|112609|112611|112608|112621|403450|113161|115213|113141,over_documented
Windows,ui,0,858.5,545,404762|112691|112670|112998|113577|405693|112638|113302|117449|113127,over_documented
Model Nodes,architecture,0,44.5,32,403394|404186|403551|113185|113238|404967|112595|112579|113251|112580,over_documented
Model Differences,architecture,0,148.5,77,113238|404667|404691|112580|113249|113679|404353|112817|113141|113704,over_documented
Model Extension,architecture,0,3.0,2,112580|DevExpress.ExpressApp.Actions.ActionBase.Model,over_documented
Model Cache,performance,0,6.0,4,402150|DevExpress.ExpressApp.ModelCacheManager|DevExpress.ExpressApp.XafApplication.CreateCustomModelCacheManager|DevExpress.ExpressApp.XafApplication.EnableModelCache,over_documented
Object Space Provider,data,0,41.8,43,404233|116516|113709|405388|113707|113239|404667|403104|404395|118741,over_documented
View Types,ui,0,1208.5,689,404762|403174|113286|112998|113577|112638|113302|117449|113303|403068,over_documented
Detail View,ui,0,204.4,308,404762|113286|117449|403068|113011|404262|112701|113525|116516|112835,over_documented
Dashboard View,ui,0,160.0,92,403174|117449|113239|112559|113054|113054|113610|112612|112611|113314,over_documented
Static View Items,ui,0,19.0,13,113130|113141|DevExpress.ExpressApp.Win.Editors.StaticImageViewItem|DevExpress.ExpressApp.Win.Editors.StaticTextViewItem|DevExpress.ExpressApp.Model.IModelStaticText.Text|DevExpress.ExpressApp.Editors.StaticImage.ImageName|DevExpress.ExpressApp.Editors.StaticImage.Model|DevExpress.ExpressApp.Editors.StaticImage|DevExpress.ExpressApp.Editors.StaticText.Model|DevExpress.ExpressApp.Editors.StaticText,over_documented
Dashboard View Items,ui,0,9.0,7,113054|113054|113314|113296|113141|113471|404496,over_documented
Action Container View Items,ui,0,13.5,9,DevExpress.ExpressApp.Win.Editors.WinActionContainerViewItem.BeginUpdate|DevExpress.ExpressApp.Win.Editors.WinActionContainerViewItem.EndUpdate|DevExpress.ExpressApp.Win.Editors.WinActionContainerViewItem|DevExpress.ExpressApp.Editors.ActionContainerViewItem|DevExpress.ExpressApp.Editors.ActionContainerViewItem.BeginUpdate|DevExpress.ExpressApp.Editors.ActionContainerViewItem.EndUpdate|DevExpress.ExpressApp.Blazor.Editors.BlazorActionContainerViewItem.BeginUpdate|DevExpress.ExpressApp.Blazor.Editors.BlazorActionContainerViewItem|DevExpress.ExpressApp.Blazor.Editors.BlazorActionContainerViewItem.EndUpdate,over_documented
View Customization,ui,0,155.5,85,404762|403179|113577|113198|113011|404726|404967|112612|112611|113314,over_documented
Nested Views,ui,0,38.0,24,112612|112611|113249|113161|120092|115213|113208|403618|112836|DevExpress.ExpressApp.SystemModule.DeleteObjectsViewController.AutoCommit,over_documented
View Variants,ui,0,34.0,42,403179|113577|113198|113011|404726|404967|113314|112728|113142|113315,over_documented
Property Editor Types,ui,0,215.0,129,404762|113664|113286|112998|112701|113525|113238|119411|113297|402956,over_documented
Collection Property Editors,ui,0,39.0,52,113286|113054|113054|112623|112607|112612|112621|403446|113683|113249,over_documented
View Controller,ui,0,150.0,101,113286|113302|113011|403631|113707|404703|112835|404610|404733|113178,over_documented
Generic View Controllers,ui,0,6.0,4,DevExpress.ExpressApp.ObjectViewController`2|DevExpress.ExpressApp.ViewController.TargetObjectType|DevExpress.ExpressApp.ViewController.TargetViewType|DevExpress.ExpressApp.ViewController`1,over_documented
Window Controller,ui,0,58.5,38,403068|116516|113707|112608|112621|113103|112916|404014|405643|404978,over_documented
Dialog Controller,ui,0,30.0,19,112623|112805|113141|404102|113572|118240|113117|DevExpress.ExpressApp.SystemModule.DialogController.AcceptAction|DevExpress.ExpressApp.SystemModule.DialogController.Accepting|DevExpress.ExpressApp.SystemModule.DialogController.CancelAction,over_documented
Target Properties,ui,0,11.5,8,113051|120092|112993|DevExpress.Persistent.Validation.IRuleBaseProperties.MessageTemplateSkipNullOrEmptyValues|DevExpress.Persistent.Validation.RuleCombinationOfPropertiesIsUniqueAttribute|DevExpress.Persistent.Base.IndexAttribute|DevExpress.ExpressApp.Model.IModelViewController.TargetViewId|DevExpress.ExpressApp.ViewController.TargetViewId,over_documented
Action Customization,ui,0,34.0,58,403068|403277|113054|113054|113610|112622|113484|113475|112696|112803,over_documented
Security Strategy,security,0,72.0,14,119411|113142|113141|404204|113237|113472|113384|113119|DevExpress.ExpressApp.SystemModule.LogoffController.LogoffAction|DevExpress.ExpressApp.Security.ObjectAccessModifier,over_documented
Error Styling,ui,0,14.5,10,404762|113684|112704|113238|113239|113251|404614|113232|DevExpress.ExpressApp.Validation.Win.ValidationWindowsFormsModule|DevExpress.ExpressApp.Editors.ListEditor.ErrorMessages,over_documented
Notifications,module,0,15.2,26,403176|404940|113696|118451|113689|113688|113691|113690|113693|113692,over_documented
State Machine,module,0,14.2,25,403177|113336|113343|113374|404967|405736|404695|112558|113142|404717,over_documented
Charts,module,0,6.0,4,113302|113314|DevExpress.ExpressApp.Chart.ICustomizationEnabledProvider|DevExpress.ExpressApp.Blazor.Editors.DxChartListEditor,over_documented
PivotGrid,module,0,33.0,44,113303|404967|113189|119740|403535|113330|113362|118046|118047|DevExpress.ExpressApp.PivotGrid.Win.PivotGridListEditor.ApplyModel,over_documented
Clone Object,module,0,7.6,12,404186|112835|404967|113142|113349|118046|118047|DevExpress.Persistent.Base.NonCloneableAttribute|DevExpress.Persistent.Base.NotClonedInfoAttribute|DevExpress.ExpressApp.CloneObject.CloneObjectModule,over_documented
Demo Applications,learning,0,53.0,40,403394|112670|113577|405693|113302|404207|404176|404726|404714|404733,over_documented
Project Wizards,tooling,0,34.0,24,405693|113011|404219|114495|112655|113301|405693|403415|403416|405447,over_documented
