source_doc,source_section,target_doc,target_section,relationship_type,relationship_confidence,relationship_bidirectional,sim_score,source_concepts,target_concepts,source_is_api,target_is_api,classification_source,src_type,tgt_type
data/raw_md/apidoc/DevExpress.ExpressApp.ConditionalAppearance/AppearanceAttribute/Priority1134109,Priority1134109::5,data/raw_md/articles/conditional-appearance/declare-conditional-appearance-rules-in-code,declare-conditional-appearance-rules-in-code::8,related_to,0.55,False,0.8315237164497375,[],['Conditional Appearance'],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp.ConditionalAppearance/AppearanceAttribute/#ctor1134797,#ctor1134797::4,data/raw_md/articles/conditional-appearance/declare-conditional-appearance-rules-in-code,declare-conditional-appearance-rules-in-code::8,related_to,0.6,False,0.8315237164497375,[],['Conditional Appearance'],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp.ConditionalAppearance/AppearanceAttribute/Criteria1134104,Criteria1134104::5,data/raw_md/articles/conditional-appearance/declare-conditional-appearance-rules-in-code,declare-conditional-appearance-rules-in-code::8,related_to,0.5,False,0.8315237164497375,[],['Conditional Appearance'],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp.SystemModule/ListViewFilterAttribute/ListViewFilterAttribute,ListViewFilterAttribute::2,data/raw_md/articles/filtering/in-list-view/how-to-use-function-criteria-operators-to-filter-list-views,how-to-use-function-criteria-operators-to-filter-list-views::3,related_to,0.62,False,0.8265804648399353,[],['Model Editor'],True,False,llm,API Reference,How-to Task
data/raw_md/apidoc/DevExpress.Persistent.BaseImpl/BaseObject/#ctor1132800,#ctor1132800::1,data/raw_md/articles/debugging-testing-and-error-handling/code-diagnostics/xaf0001,xaf0001::3,related_to,0.55,False,0.8264394402503967,['Business Objects' 'XPO'],['Business Objects' 'XPO'],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp.Blazor.SystemModule/GridExportEventArgs/DocumentOptions,DocumentOptions::2,data/raw_md/articles/shape-export-print-data/printing-exporting-in-list-view/how-to-customize-the-export-action-behavior,how-to-customize-the-export-action-behavior::15,related_to,0.55,False,0.8196057081222534,[],[],True,False,llm,API Reference,How-to Task
data/raw_md/apidoc/DevExpress.ExpressApp.Blazor.Editors/BlazorPropertyEditorBase/ComponentModel,ComponentModel::1,data/raw_md/articles/business-model-design-orm/data-types-supported-by-built-in-editors/string-properties,string-properties::3,related_to,0.6,False,0.8190206289291382,['Detail View' 'Property Editors' 'Views'],[],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp.Editors/ListEditorAttribute/ListEditorAttribute,ListEditorAttribute::6,data/raw_md/articles/ui-construction/list-editors/how-to-use-a-custom-component-to-implement-list-editor-blazor,how-to-use-a-custom-component-to-implement-list-editor-blazor::28,related_to,0.5,False,0.8142277002334595,[],[],True,False,llm,API Reference,How-to Task
data/raw_md/articles/localization/localize-an-xaf-application,localize-an-xaf-application::10,data/raw_md/apidoc/DevExpress.ExpressApp.Blazor.Services/IXafCultureInfoService/CurrentUICulture,CurrentUICulture::1,related_to,0.55,False,0.8134167194366455,[],['Localization'],False,True,llm,Conceptual,API Reference
data/raw_md/apidoc/DevExpress.ExpressApp.ConditionalAppearance/AppearanceAttribute/TargetItems1134110,TargetItems1134110::4,data/raw_md/articles/conditional-appearance/declare-conditional-appearance-rules-in-code,declare-conditional-appearance-rules-in-code::11,related_to,0.55,False,0.8113831281661987,[],['Conditional Appearance'],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp.EFCore/EFCoreObjectSpace/EFCoreObjectSpace,EFCoreObjectSpace::2,data/raw_md/articles/data-manipulation-and-business-logic/access-xaf-application-data-in-a-non-xaf-application,access-xaf-application-data-in-a-non-xaf-application::2,related_to,0.62,False,0.8106667995452881,['Entity Framework Core' 'Object Space'],['Entity Framework Core' 'Object Space'],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp.ConditionalAppearance/AppearanceAttribute/TargetItems1134110,TargetItems1134110::4,data/raw_md/articles/conditional-appearance/declare-conditional-appearance-rules-in-code,declare-conditional-appearance-rules-in-code::7,related_to,0.55,False,0.8101978898048401,[],['Conditional Appearance'],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp.ConditionalAppearance/AppearanceAttribute/Context1134103,Context1134103::4,data/raw_md/articles/conditional-appearance/declare-conditional-appearance-rules-in-code,declare-conditional-appearance-rules-in-code::7,related_to,0.55,False,0.8101978898048401,[],['Conditional Appearance'],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp.ReportsV2.Win/WinReportServiceController/CreateCustomDesignForm1137481,CreateCustomDesignForm1137481::2,data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-use-the-custom-winforms-report-designer,how-to-use-the-custom-winforms-report-designer::2,related_to,0.6,False,0.8100817203521729,[],['Reports Module'],True,False,llm,API Reference,How-to Task
data/raw_md/apidoc/DevExpress.ExpressApp.ReportsV2.Services/ReportDataSourceHelperBase/SetupReportDataSource,SetupReportDataSource::1,data/raw_md/articles/filtering/in-reports/data-filtering-in-reports,data-filtering-in-reports::5,related_to,0.6,False,0.8085891604423523,['Criteria and Query Language' 'Reports Module'],['Model Editor' 'Reports Module'],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp.Editors/PropertyEditorAttribute/PropertyEditorAttribute,PropertyEditorAttribute::2,data/raw_md/articles/ui-construction/view-items-and-property-editors/property-editors/customize-a-built-in-property-editor-blazor,customize-a-built-in-property-editor-blazor::5,related_to,0.6,False,0.8079299330711365,['Detail View' 'Model Editor' 'Property Editors' 'Views'],['Model Editor'],True,False,llm,API Reference,Conceptual
data/raw_md/articles/conditional-appearance/declare-conditional-appearance-rules-in-code,declare-conditional-appearance-rules-in-code::4,data/raw_md/apidoc/DevExpress.ExpressApp.ConditionalAppearance/CollectAppearanceRulesEventArgs/AppearanceRules1136085,AppearanceRules1136085::1,related_to,0.55,False,0.8041948080062866,['Conditional Appearance'],['Conditional Appearance'],False,True,llm,Conceptual,API Reference
data/raw_md/apidoc/DevExpress.ExpressApp.PivotGrid/IPivotSettings/Settings1137204,Settings1137204::1,data/raw_md/articles/analytics/pivot-grid-module,pivot-grid-module::7,related_to,0.55,False,0.8041569590568542,['Model Editor'],['List Editors' 'List View' 'Model Editor' 'Pivot Grid Module' 'Views'],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp.ConditionalAppearance/AppearanceAttribute/AppearanceItemType1134798,AppearanceItemType1134798::7,data/raw_md/articles/conditional-appearance/declare-conditional-appearance-rules-in-code,declare-conditional-appearance-rules-in-code::10,related_to,0.55,False,0.8029146194458008,[],['Conditional Appearance'],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp.Model.NodeGenerators/ImageSourceNodesGenerator/ImageSourceNodesGenerator,ImageSourceNodesGenerator::1,data/raw_md/articles/ui-construction/application-model-ui-settings-storage/how-application-model-works/built-in-nodes-generators,built-in-nodes-generators::2,related_to,0.65,False,0.8012394905090332,[],[],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp.Editors/PropertyEditorAttribute/PropertyEditorAttribute,PropertyEditorAttribute::5,data/raw_md/articles/ui-construction/view-items-and-property-editors/property-editors/customize-a-built-in-property-editor-blazor,customize-a-built-in-property-editor-blazor::4,related_to,0.55,False,0.7980177402496338,['Detail View' 'Model Editor' 'Property Editors' 'View Items' 'Views'],['Detail View' 'Property Editors' 'Views'],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.Persistent.BaseImpl.AuditTrail.Services/AuditTrailServiceBase/BeginSessionAudit_1,BeginSessionAudit_1::2,data/raw_md/articles/data-security-and-safety/audit-trail/audit-trail-xpo/change-object-auditing-mode,change-object-auditing-mode::5,related_to,0.55,False,0.7972838878631592,[],[],True,False,llm,API Reference,Conceptual
data/raw_md/articles/localization/localize-an-xaf-application,localize-an-xaf-application::8,data/raw_md/apidoc/DevExpress.ExpressApp.Blazor.Services/IXafCultureInfoService/CurrentCulture,CurrentCulture::1,related_to,0.55,False,0.7969207763671875,['Localization'],['Localization'],False,True,llm,Conceptual,API Reference
data/raw_md/apidoc/DevExpress.ExpressApp/IObjectSpace/Committing1134386,Committing1134386::2,data/raw_md/articles/data-manipulation-and-business-logic/create-read-update-and-delete-data/save-objects-to-database,save-objects-to-database::5,related_to,0.72,False,0.7958664298057556,[],[],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp.TreeListEditors.Win/TreeListEditor/Name1131943,Name1131943::1,data/raw_md/articles/app-shell-and-base-infrastructure/tree-list-editors/tree-list-editors-module-overview,tree-list-editors-module-overview::19,related_to,0.6,False,0.7954126596450806,['List Editors' 'List View' 'TreeList Editors' 'Views'],"['List Editors' 'List View' 'Tree Node Interface' 'TreeList Editors'
 'Views']",True,False,llm,API Reference,Conceptual
data/raw_md/articles/ui-construction/view-items-and-property-editors/property-editors/customize-a-built-in-property-editor-blazor,customize-a-built-in-property-editor-blazor::3,data/raw_md/apidoc/DevExpress.ExpressApp.Editors/PropertyEditorAttribute/PropertyEditorAttribute,PropertyEditorAttribute::5,related_to,0.55,False,0.7948706150054932,['Detail View' 'Property Editors' 'Views'],['Detail View' 'Model Editor' 'Property Editors' 'View Items' 'Views'],False,True,llm,Conceptual,API Reference
data/raw_md/apidoc/DevExpress.ExpressApp.ConditionalAppearance/AppearanceAttribute/#ctor1134797,#ctor1134797::4,data/raw_md/articles/conditional-appearance/declare-conditional-appearance-rules-in-code,declare-conditional-appearance-rules-in-code::12,related_to,0.6,False,0.7945748567581177,[],['Conditional Appearance'],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp.ConditionalAppearance/AppearanceAttribute/Criteria1134104,Criteria1134104::5,data/raw_md/articles/conditional-appearance/declare-conditional-appearance-rules-in-code,declare-conditional-appearance-rules-in-code::12,related_to,0.55,False,0.7945748567581177,[],['Conditional Appearance'],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp.ConditionalAppearance/AppearanceAttribute/Priority1134109,Priority1134109::5,data/raw_md/articles/conditional-appearance/declare-conditional-appearance-rules-in-code,declare-conditional-appearance-rules-in-code::12,related_to,0.5,False,0.7945748567581177,[],['Conditional Appearance'],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp/XafApplication/ResourcesExportedToModel1131243,ResourcesExportedToModel1131243::2,data/raw_md/articles/localization/localize-an-xaf-application,localize-an-xaf-application::4,related_to,0.62,False,0.7944750189781189,['Localization' 'Model Editor'],['Application Model' 'Localization' 'Model Editor'],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.Persistent.Base.General/ICategorizedItem/ICategorizedItem,ICategorizedItem::1,data/raw_md/articles/app-shell-and-base-infrastructure/tree-list-editors/tree-list-editors-module-overview,tree-list-editors-module-overview::20,related_to,0.6,False,0.7942365407943726,[],['List Editors' 'List View' 'TreeList Editors' 'Views'],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp.Editors/PropertyEditorAttribute/PropertyEditorAttribute,PropertyEditorAttribute::6,data/raw_md/articles/ui-construction/view-items-and-property-editors/property-editors,property-editors::8,related_to,0.6,False,0.7926871180534363,['Detail View' 'Model Editor' 'Property Editors' 'View Items' 'Views'],['Detail View' 'Property Editors' 'Views'],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp.Blazor.Editors/BlazorPropertyEditorBase/BlazorPropertyEditorBase,BlazorPropertyEditorBase::1,data/raw_md/articles/business-model-design-orm/data-types-supported-by-built-in-editors/miscellaneous-property-types,miscellaneous-property-types::3,related_to,0.55,False,0.7920281291007996,['Detail View' 'Property Editors' 'Views'],['Detail View' 'Property Editors' 'Views'],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp.MultiTenancy/ITenantResolver/ITenantResolver,ITenantResolver::1,data/raw_md/articles/multitenancy/multi-tenant-application-architecture,multi-tenant-application-architecture::9,related_to,0.62,True,0.7893335819244385,['Multi-Tenancy' 'Tenant Classes and Resolver'],['Multi-Tenancy' 'Tenant Classes and Resolver'],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp.Editors/ListEditorAttribute/ListEditorAttribute,ListEditorAttribute::4,data/raw_md/articles/ui-construction/list-editors/how-to-use-a-custom-component-to-implement-list-editor-blazor,how-to-use-a-custom-component-to-implement-list-editor-blazor::29,related_to,0.55,False,0.7891201376914978,['List Editors' 'List View' 'Model Editor' 'Views'],['List Editors' 'List View' 'Views'],True,False,llm,API Reference,How-to Task
data/raw_md/apidoc/DevExpress.ExpressApp.Win/ISplash/ISplash,ISplash::1,data/raw_md/articles/app-shell-and-base-infrastructure/application-personalization/splash-forms-winforms,splash-forms-winforms::3,related_to,0.6,False,0.7882962822914124,['XAF Application'],['Solution Structure and Module Design' 'Template Kit and CLI'],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp.Model/IModelBandsLayout/Enable1138160,Enable1138160::1,data/raw_md/articles/ui-construction/views/layout/list-view-bands-layout,list-view-bands-layout::5,related_to,0.62,False,0.7877129316329956,[],[],True,False,llm,API Reference,Conceptual
data/raw_md/articles/localization/localization-basics,localization-basics::6,data/raw_md/apidoc/DevExpress.ExpressApp/XafApplication/SetLanguage1131242,SetLanguage1131242::1,related_to,0.62,False,0.7876613736152649,[],['Application Model' 'XAF Application'],False,True,llm,Conceptual,API Reference
data/raw_md/apidoc/DevExpress.ExpressApp.Actions/ActionBase/DiagnosticInfo1130014,DiagnosticInfo1130014::1,data/raw_md/articles/ui-construction/controllers-and-actions/determine-why-an-action-controller-or-editor-is-inactive,determine-why-an-action-controller-or-editor-is-inactive::4,related_to,0.72,True,0.7873148918151855,['Actions' 'Controllers'],[],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp.Editors/PropertyEditorAttribute/PropertyEditorAttribute,PropertyEditorAttribute::7,data/raw_md/articles/ui-construction/view-items-and-property-editors/property-editors,property-editors::3,related_to,0.55,False,0.7870740294456482,['Detail View' 'Property Editors' 'Views'],['Detail View' 'Property Editors' 'Views'],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp.Editors/PropertyEditorAttribute/PropertyEditorAttribute,PropertyEditorAttribute::6,data/raw_md/articles/ui-construction/view-items-and-property-editors/property-editors/customize-a-built-in-property-editor-blazor,customize-a-built-in-property-editor-blazor::4,related_to,0.5,False,0.7865779995918274,['Detail View' 'Model Editor' 'Property Editors' 'View Items' 'Views'],['Detail View' 'Property Editors' 'Views'],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp.Model/IModelListView/Filter1137124,Filter1137124::1,data/raw_md/articles/filtering/in-list-view/how-to-filter-list-views-on-the-ui-specific-level,how-to-filter-list-views-on-the-ui-specific-level::9,related_to,0.6,False,0.7864677906036377,[],['List Editors' 'List View' 'Views'],True,False,llm,API Reference,How-to Task
data/raw_md/apidoc/DevExpress.ExpressApp.Blazor.Services/IXafCultureInfoService/SupportedCultures,SupportedCultures::1,data/raw_md/articles/localization/localize-an-xaf-application,localize-an-xaf-application::8,related_to,0.55,False,0.7841182351112366,['Localization'],['Localization'],True,False,llm,API Reference,Conceptual
data/raw_md/articles/localization/localize-an-xaf-application,localize-an-xaf-application::8,data/raw_md/apidoc/DevExpress.ExpressApp.Blazor.Services/IXafCultureInfoService/CurrentUICulture,CurrentUICulture::1,related_to,0.55,False,0.7834449410438538,['Localization'],['Localization'],False,True,llm,Conceptual,API Reference
data/raw_md/apidoc/DevExpress.ExpressApp.Security/SecurityStrategyComplex/NewUserRoleName1136639,NewUserRoleName1136639::5,data/raw_md/articles/data-security-and-safety/security-system/authentication,authentication::12,related_to,0.55,False,0.7833503484725952,[],[],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp/DetailViewExtensions/CustomizeViewItemControl``1_1,CustomizeViewItemControl``1_1::2,data/raw_md/articles/ui-construction/view-items-and-property-editors/property-editors/customize-a-built-in-property-editor-winforms,customize-a-built-in-property-editor-winforms::8,related_to,0.6,False,0.7825323343276978,"['Controllers' 'Detail View' 'Model Editor' 'Property Editors'
 'View Items' 'Views']",['Controllers' 'Detail View' 'Property Editors' 'Views'],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp.Blazor.Editors/DxTreeListEditor/DxTreeListEditor,DxTreeListEditor::1,data/raw_md/articles/app-shell-and-base-infrastructure/tree-list-editors/display-a-tree-list-using-the-category-class,display-a-tree-list-using-the-category-class::2,related_to,0.62,True,0.781245768070221,['List Editors' 'List View' 'TreeList Editors' 'Views'],['List Editors' 'List View' 'TreeList Editors' 'Views'],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.Persistent.Base/IFileData/IFileData,IFileData::2,data/raw_md/articles/document-management/office-module/use-pdf-documents-in-business-objects,use-pdf-documents-in-business-objects::3,related_to,0.6,False,0.7811254858970642,[],[],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp.Editors/PropertyEditorAttribute/PropertyEditorAttribute,PropertyEditorAttribute::6,data/raw_md/articles/ui-construction/view-items-and-property-editors/property-editors/implement-a-property-editor-based-on-custom-components-blazor,implement-a-property-editor-based-on-custom-components-blazor::7,related_to,0.52,False,0.7810239791870117,['Detail View' 'Model Editor' 'Property Editors' 'View Items' 'Views'],['Detail View' 'Property Editors' 'Views'],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp/CreateCustomObjectSpaceProviderEventArgs/ObjectSpaceProviders1137051,ObjectSpaceProviders1137051::1,data/raw_md/articles/debugging-testing-and-error-handling/code-diagnostics/xaf0012,xaf0012::1,related_to,0.62,True,0.7810142040252686,['Object Space'],['Object Space' 'XAF Application'],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp.ReportsV2/ReportsStorage/ReportsStorage,ReportsStorage::1,data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-execute-custom-code-when-a-report-is-persisted,how-to-execute-custom-code-when-a-report-is-persisted::7,related_to,0.55,False,0.7803074717521667,[],[],True,False,llm,API Reference,How-to Task
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/WinAuthenticationBuilderExtensions/UseExternalAuthentication``1,UseExternalAuthentication``1::1,data/raw_md/articles/data-security-and-safety/security-system/authentication/oauth-and-custom-authentication/active-directory-and-oauth2-authentication-providers-in-winforms-applications,active-directory-and-oauth2-authentication-providers-in-winforms-applications::5,related_to,0.6,False,0.7801007628440857,['Authentication' 'Security System'],['Authentication' 'Security System'],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp.Model/IModelListView/Filter1137124,Filter1137124::2,data/raw_md/articles/filtering/in-list-view/how-to-filter-list-views-on-the-ui-specific-level,how-to-filter-list-views-on-the-ui-specific-level::4,related_to,0.65,True,0.7799592018127441,[],['List Editors' 'List View' 'Model Editor' 'Views'],True,False,llm,API Reference,How-to Task
data/raw_md/articles/ui-construction/templates/in-blazor/change-popup-window-dimensions,change-popup-window-dimensions::8,data/raw_md/apidoc/DevExpress.ExpressApp.Actions/PopupWindowShowAction/CustomizeTemplate1130097,CustomizeTemplate1130097::2,related_to,0.55,False,0.7798935770988464,[],[],False,True,llm,Conceptual,API Reference
data/raw_md/apidoc/DevExpress.ExpressApp/XafApplication/CreateCustomModelDifferenceStore1130171,CreateCustomModelDifferenceStore1130171::1,data/raw_md/articles/ui-construction/application-model-ui-settings-storage/how-application-model-works,how-application-model-works::15,related_to,0.62,False,0.7793562412261963,['Application Model' 'Model Differences' 'Model Editor'],"['Application Model' 'File Attachments' 'Model Differences' 'Object Space'
 'Solution Structure and Module Design' 'Template Kit and CLI'
 'XAF Application']",True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp/XafApplication/ObjectSpaceProvider1130242,ObjectSpaceProvider1130242::1,data/raw_md/articles/debugging-testing-and-error-handling/code-diagnostics/xaf0012,xaf0012::1,related_to,0.62,False,0.778507649898529,"['Object Space' 'Solution Structure and Module Design'
 'Template Kit and CLI']",['Object Space' 'XAF Application'],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/WinSecurityBuilderExtensions/UseWindowsAuthentication,UseWindowsAuthentication::1,data/raw_md/articles/data-security-and-safety/security-system/authentication/oauth-and-custom-authentication/active-directory-and-oauth2-authentication-providers-in-winforms-applications,active-directory-and-oauth2-authentication-providers-in-winforms-applications::5,related_to,0.55,False,0.7783154249191284,['Authentication' 'Security System'],['Authentication' 'Security System'],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp.ConditionalAppearance/AppearanceObject/AppearanceObject,AppearanceObject::1,data/raw_md/articles/conditional-appearance/declare-conditional-appearance-rules-in-code,declare-conditional-appearance-rules-in-code::4,related_to,0.6,True,0.7768191695213318,['Conditional Appearance'],['Conditional Appearance'],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp.SystemModule/IDataAwareExportable/IDataAwareExportable,IDataAwareExportable::2,data/raw_md/articles/shape-export-print-data/printing-exporting-in-list-view/how-to-customize-the-export-action-behavior,how-to-customize-the-export-action-behavior::11,related_to,0.55,False,0.7764999270439148,[],[],True,False,llm,API Reference,How-to Task
data/raw_md/apidoc/DevExpress.ExpressApp/XafApplication/ResourcesExportedToModel1131243,ResourcesExportedToModel1131243::2,data/raw_md/articles/localization/localize-an-xaf-application,localize-an-xaf-application::2,related_to,0.62,False,0.7758269906044006,['Localization' 'Model Editor'],"['Localization' 'Localization in Model Editor' 'Model Editor'
 'NuGet Package Management' 'Solution Structure and Module Design']",True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp/IObjectSpace/CommitChanges1134409,CommitChanges1134409::2,data/raw_md/articles/data-manipulation-and-business-logic/create-read-update-and-delete-data/create-a-new-object,create-a-new-object::6,related_to,0.55,False,0.7754704356193542,[],[],True,False,llm,API Reference,Conceptual
data/raw_md/apidoc/DevExpress.ExpressApp.SystemModule/IDataAwareExportable/IDataAwareExportable,IDataAwareExportable::2,data/raw_md/articles/shape-export-print-data/printing-exporting-in-list-view/how-to-customize-the-export-action-behavior,how-to-customize-the-export-action-behavior::5,related_to,0.55,False,0.7754119634628296,[],[],True,False,llm,API Reference,How-to Task
data/raw_md/apidoc/DevExpress.Persistent.Base/IFileData/IFileData,IFileData::1,data/raw_md/articles/business-model-design-orm/data-types-supported-by-built-in-editors/file-attachment-properties/file-attachment-properties-in-xpo,file-attachment-properties-in-xpo::6,related_to,0.62,True,0.7751650214195251,['File Attachments'],['File Attachments'],True,False,llm,API Reference,Conceptual
