source_doc,source_section,source_is_api,source_title,source_h_path,target_doc,target_section,target_is_api,target_title,target_h_path,similarity,pair_kind,shared_concepts,shared_platforms,shared_apis,gates,would_pass_gate
data/raw_md/apidoc/DevExpress.ExpressApp.EFCore/EFCoreObjectSpace/GetObjects``1,GetObjects``1::1,True,GetObjects``1,,data/raw_md/apidoc/DevExpress.ExpressApp.EFCore/EFCoreObjectSpace/GetObjects,GetObjects::1,True,GetObjects,,0.9839,api→api,"Criteria, XPO",,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.EFCore/EFCoreObjectSpace/GetObjects``1,GetObjects``1::1,True,GetObjects``1,,data/raw_md/apidoc/DevExpress.ExpressApp.EFCore/EFCoreObjectSpace/GetObjectsQuery``1_1,GetObjectsQuery``1_1::1,True,GetObjectsQuery``1_1,,0.9024,api→api,"Criteria, XPO",,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.EFCore/EFCoreObjectSpace/GetObjects``1,GetObjects``1::1,True,GetObjects``1,,data/raw_md/apidoc/DevExpress.ExpressApp/IObjectSpace/GetObjects1163714,GetObjects1163714::1,True,C#,,0.8796,api→api,"Criteria, XPO",,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.EFCore/EFCoreObjectSpace/GetObjects``1,GetObjects``1::1,True,GetObjects``1,,data/raw_md/apidoc/DevExpress.ExpressApp/BaseObjectSpace/GetObjects1163708,GetObjects1163708::1,True,C#,,0.8746,api→api,"Criteria, XPO",,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.EFCore/EFCoreObjectSpace/GetObjects``1,GetObjects``1::1,True,GetObjects``1,,data/raw_md/apidoc/DevExpress.ExpressApp/FetchObjectsEventArgs/#ctor,#ctor::1,True,#ctor,,0.8698,api→api,"Criteria, XPO",,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.EFCore/EFCoreObjectSpace/GetObjects``1,GetObjects``1::1,True,GetObjects``1,,data/raw_md/apidoc/DevExpress.ExpressApp/BaseObjectSpace/GetObjects``11163709,GetObjects``11163709::1,True,C#,,0.858,api→api,"Criteria, XPO",,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.EFCore/EFCoreObjectSpace/GetObjects``1,GetObjects``1::1,True,GetObjects``1,,data/raw_md/apidoc/DevExpress.ExpressApp/IObjectSpace/GetObjects``11163715,GetObjects``11163715::1,True,C#,,0.8453,api→api,"Criteria, XPO",,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.EFCore/EFCoreObjectSpace/GetObjects``1,GetObjects``1::1,True,GetObjects``1,,data/raw_md/apidoc/DevExpress.ExpressApp/IObjectSpace/CreateCollection1137131,CreateCollection1137131::1,True,CreateCollection1137131,,0.8329,api→api,"Criteria, XPO",,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.EFCore/EFCoreObjectSpace/GetObjects``1,GetObjects``1::1,True,GetObjects``1,,data/raw_md/apidoc/DevExpress.ExpressApp.EFCore/EFCoreObjectSpace/Evaluate,Evaluate::1,True,Evaluate,,0.8328,api→api,Criteria,,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.EFCore/EFCoreObjectSpace/GetObjects``1,GetObjects``1::1,True,GetObjects``1,,data/raw_md/apidoc/DevExpress.ExpressApp/BaseObjectSpace/CreateCollection1137116,CreateCollection1137116::1,True,CreateCollection1137116,,0.8326,api→api,"Criteria, XPO",,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddMemberPermission1169857,AddMemberPermission1169857::1,True,AddMemberPermission1169857,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddMemberPermission``11169858,AddMemberPermission``11169858::1,True,AddMemberPermission``11169858,,0.9898,api→api,Criteria,,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddMemberPermission1169857,AddMemberPermission1169857::1,True,AddMemberPermission1169857,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddMemberPermissionFromLambda``1,AddMemberPermissionFromLambda``1::1,True,C#,,0.9467,api→api,,,,high_similarity_fallback,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddMemberPermission1169857,AddMemberPermission1169857::1,True,AddMemberPermission1169857,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddMemberPermission1169856,AddMemberPermission1169856::1,True,AddMemberPermission1169856,,0.9456,api→api,Criteria,,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddMemberPermission1169857,AddMemberPermission1169857::1,True,AddMemberPermission1169857,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermission1205681,AddObjectPermission1205681::1,True,AddObjectPermission1205681,,0.9091,api→api,Criteria,,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddMemberPermission1169857,AddMemberPermission1169857::1,True,AddMemberPermission1169857,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermission1169861,AddObjectPermission1169861::1,True,AddObjectPermission1169861,,0.9088,api→api,Criteria,,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddMemberPermission1169857,AddMemberPermission1169857::1,True,AddMemberPermission1169857,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermission``11205682,AddObjectPermission``11205682::1,True,AddObjectPermission``11205682,,0.9051,api→api,Criteria,,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddMemberPermission1169857,AddMemberPermission1169857::1,True,AddMemberPermission1169857,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermissionFromLambda``1,AddObjectPermissionFromLambda``1::1,True,C#,,0.8948,api→api,,,,high_similarity_fallback,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddMemberPermission1169857,AddMemberPermission1169857::1,True,AddMemberPermission1169857,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddTypePermission1169863,AddTypePermission1169863::1,True,AddTypePermission1169863,,0.8887,api→api,,,,high_similarity_fallback,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddMemberPermission1169857,AddMemberPermission1169857::1,True,AddMemberPermission1169857,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/SetTypePermission``11169871,SetTypePermission``11169871::1,True,SetTypePermission``11169871,,0.8849,api→api,,,,high_similarity_fallback,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddMemberPermission1169857,AddMemberPermission1169857::1,True,AddMemberPermission1169857,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/SetTypePermission1169870,SetTypePermission1169870::1,True,SetTypePermission1169870,,0.8847,api→api,,,,high_similarity_fallback,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddMemberPermission``11169858,AddMemberPermission``11169858::1,True,AddMemberPermission``11169858,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddMemberPermission1169857,AddMemberPermission1169857::1,True,AddMemberPermission1169857,,0.9898,api→api,Criteria,,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddMemberPermission``11169858,AddMemberPermission``11169858::1,True,AddMemberPermission``11169858,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddMemberPermissionFromLambda``1,AddMemberPermissionFromLambda``1::1,True,C#,,0.955,api→api,,,,high_similarity_fallback,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddMemberPermission``11169858,AddMemberPermission``11169858::1,True,AddMemberPermission``11169858,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddMemberPermission1169856,AddMemberPermission1169856::1,True,AddMemberPermission1169856,,0.9434,api→api,Criteria,,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddMemberPermission``11169858,AddMemberPermission``11169858::1,True,AddMemberPermission``11169858,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermission``11205682,AddObjectPermission``11205682::1,True,AddObjectPermission``11205682,,0.9166,api→api,Criteria,,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddMemberPermission``11169858,AddMemberPermission``11169858::1,True,AddMemberPermission``11169858,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermission1205681,AddObjectPermission1205681::1,True,AddObjectPermission1205681,,0.9111,api→api,Criteria,,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddMemberPermission``11169858,AddMemberPermission``11169858::1,True,AddMemberPermission``11169858,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermissionFromLambda``1,AddObjectPermissionFromLambda``1::1,True,C#,,0.9064,api→api,,,,high_similarity_fallback,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddMemberPermission``11169858,AddMemberPermission``11169858::1,True,AddMemberPermission``11169858,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermission1169861,AddObjectPermission1169861::1,True,AddObjectPermission1169861,,0.9037,api→api,Criteria,,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddMemberPermission``11169858,AddMemberPermission``11169858::1,True,AddMemberPermission``11169858,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/SetTypePermission``11169871,SetTypePermission``11169871::1,True,SetTypePermission``11169871,,0.8932,api→api,,,,high_similarity_fallback,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddMemberPermission``11169858,AddMemberPermission``11169858::1,True,AddMemberPermission``11169858,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddTypePermission``11169862,AddTypePermission``11169862::1,True,AddTypePermission``11169862,,0.8876,api→api,,,,high_similarity_fallback,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddMemberPermission``11169858,AddMemberPermission``11169858::1,True,AddMemberPermission``11169858,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddTypePermissionsRecursively``1,AddTypePermissionsRecursively``1::1,True,AddTypePermissionsRecursively``1,,0.8849,api→api,,,,high_similarity_fallback,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermission1169861,AddObjectPermission1169861::1,True,AddObjectPermission1169861,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermission1205681,AddObjectPermission1205681::1,True,AddObjectPermission1205681,,0.9876,api→api,Criteria,,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermission1169861,AddObjectPermission1169861::1,True,AddObjectPermission1169861,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermission``11205682,AddObjectPermission``11205682::1,True,AddObjectPermission``11205682,,0.9817,api→api,Criteria,,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermission1169861,AddObjectPermission1169861::1,True,AddObjectPermission1169861,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermissionFromLambda``1,AddObjectPermissionFromLambda``1::1,True,C#,,0.9406,api→api,,,,high_similarity_fallback,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermission1169861,AddObjectPermission1169861::1,True,AddObjectPermission1169861,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddMemberPermission1169857,AddMemberPermission1169857::1,True,AddMemberPermission1169857,,0.9088,api→api,Criteria,,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermission1169861,AddObjectPermission1169861::1,True,AddObjectPermission1169861,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddMemberPermission``11169858,AddMemberPermission``11169858::1,True,AddMemberPermission``11169858,,0.9037,api→api,Criteria,,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermission1169861,AddObjectPermission1169861::1,True,AddObjectPermission1169861,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddMemberPermission1169856,AddMemberPermission1169856::1,True,AddMemberPermission1169856,,0.9033,api→api,Criteria,,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermission1169861,AddObjectPermission1169861::1,True,AddObjectPermission1169861,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddMemberPermissionFromLambda``1,AddMemberPermissionFromLambda``1::1,True,C#,,0.8983,api→api,,,,high_similarity_fallback,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermission1169861,AddObjectPermission1169861::1,True,AddObjectPermission1169861,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/SetTypePermission1169870,SetTypePermission1169870::1,True,SetTypePermission1169870,,0.8956,api→api,,,,high_similarity_fallback,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermission1169861,AddObjectPermission1169861::1,True,AddObjectPermission1169861,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/EnsureTypePermission1169867,EnsureTypePermission1169867::1,True,EnsureTypePermission1169867,,0.8938,api→api,,,,high_similarity_fallback,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermission1169861,AddObjectPermission1169861::1,True,AddObjectPermission1169861,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/SetTypePermission``11169871,SetTypePermission``11169871::1,True,SetTypePermission``11169871,,0.885,api→api,,,,high_similarity_fallback,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermission1205681,AddObjectPermission1205681::1,True,AddObjectPermission1205681,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermission``11205682,AddObjectPermission``11205682::1,True,AddObjectPermission``11205682,,0.9891,api→api,Criteria,,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermission1205681,AddObjectPermission1205681::1,True,AddObjectPermission1205681,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermission1169861,AddObjectPermission1169861::1,True,AddObjectPermission1169861,,0.9876,api→api,Criteria,,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermission1205681,AddObjectPermission1205681::1,True,AddObjectPermission1205681,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermissionFromLambda``1,AddObjectPermissionFromLambda``1::1,True,C#,,0.9509,api→api,,,,high_similarity_fallback,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermission1205681,AddObjectPermission1205681::1,True,AddObjectPermission1205681,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddMemberPermission``11169858,AddMemberPermission``11169858::1,True,AddMemberPermission``11169858,,0.9111,api→api,Criteria,,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermission1205681,AddObjectPermission1205681::1,True,AddObjectPermission1205681,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddMemberPermission1169857,AddMemberPermission1169857::1,True,AddMemberPermission1169857,,0.9091,api→api,Criteria,,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermission1205681,AddObjectPermission1205681::1,True,AddObjectPermission1205681,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddMemberPermissionFromLambda``1,AddMemberPermissionFromLambda``1::1,True,C#,,0.9074,api→api,,,,high_similarity_fallback,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermission1205681,AddObjectPermission1205681::1,True,AddObjectPermission1205681,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/SetTypePermission1169870,SetTypePermission1169870::1,True,SetTypePermission1169870,,0.9054,api→api,,,,high_similarity_fallback,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermission1205681,AddObjectPermission1205681::1,True,AddObjectPermission1205681,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddMemberPermission1169856,AddMemberPermission1169856::1,True,AddMemberPermission1169856,,0.9046,api→api,Criteria,,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermission1205681,AddObjectPermission1205681::1,True,AddObjectPermission1205681,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/EnsureTypePermission1169867,EnsureTypePermission1169867::1,True,EnsureTypePermission1169867,,0.8965,api→api,,,,high_similarity_fallback,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermission1205681,AddObjectPermission1205681::1,True,AddObjectPermission1205681,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddTypePermission1169863,AddTypePermission1169863::1,True,AddTypePermission1169863,,0.8954,api→api,,,,high_similarity_fallback,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermission``11205682,AddObjectPermission``11205682::1,True,AddObjectPermission``11205682,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermission1205681,AddObjectPermission1205681::1,True,AddObjectPermission1205681,,0.9891,api→api,Criteria,,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermission``11205682,AddObjectPermission``11205682::1,True,AddObjectPermission``11205682,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermission1169861,AddObjectPermission1169861::1,True,AddObjectPermission1169861,,0.9817,api→api,Criteria,,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermission``11205682,AddObjectPermission``11205682::1,True,AddObjectPermission``11205682,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermissionFromLambda``1,AddObjectPermissionFromLambda``1::1,True,C#,,0.9527,api→api,,,,high_similarity_fallback,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermission``11205682,AddObjectPermission``11205682::1,True,AddObjectPermission``11205682,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddMemberPermission``11169858,AddMemberPermission``11169858::1,True,AddMemberPermission``11169858,,0.9166,api→api,Criteria,,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermission``11205682,AddObjectPermission``11205682::1,True,AddObjectPermission``11205682,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/SetTypePermission``11169871,SetTypePermission``11169871::1,True,SetTypePermission``11169871,,0.9098,api→api,,,,high_similarity_fallback,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermission``11205682,AddObjectPermission``11205682::1,True,AddObjectPermission``11205682,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddMemberPermissionFromLambda``1,AddMemberPermissionFromLambda``1::1,True,C#,,0.9078,api→api,,,,high_similarity_fallback,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermission``11205682,AddObjectPermission``11205682::1,True,AddObjectPermission``11205682,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddMemberPermission1169857,AddMemberPermission1169857::1,True,AddMemberPermission1169857,,0.9051,api→api,Criteria,,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermission``11205682,AddObjectPermission``11205682::1,True,AddObjectPermission``11205682,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddMemberPermission1169856,AddMemberPermission1169856::1,True,AddMemberPermission1169856,,0.8998,api→api,Criteria,,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermission``11205682,AddObjectPermission``11205682::1,True,AddObjectPermission``11205682,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/SetTypePermission1169870,SetTypePermission1169870::1,True,SetTypePermission1169870,,0.8981,api→api,,,,high_similarity_fallback,True
data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddObjectPermission``11205682,AddObjectPermission``11205682::1,True,AddObjectPermission``11205682,,data/raw_md/apidoc/DevExpress.ExpressApp.Security/PermissionSettingHelper/AddTypePermission``11169862,AddTypePermission``11169862::1,True,AddTypePermission``11169862,,0.8939,api→api,,,,high_similarity_fallback,True
data/raw_md/apidoc/DevExpress.ExpressApp.SystemModule/ListViewFilterAttribute/#ctor1130723,#ctor1130723::1,True,C#,,data/raw_md/apidoc/DevExpress.ExpressApp.SystemModule/ListViewFilterAttribute/#ctor1130721,#ctor1130721::1,True,C#,,0.9954,api→api,"Criteria, List View, View Types, Views",,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.SystemModule/ListViewFilterAttribute/#ctor1130723,#ctor1130723::1,True,C#,,data/raw_md/apidoc/DevExpress.ExpressApp.SystemModule/ListViewFilterAttribute/#ctor1130722,#ctor1130722::1,True,C#,,0.9888,api→api,"Criteria, List View, View Types, Views",,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.SystemModule/ListViewFilterAttribute/#ctor1130723,#ctor1130723::1,True,C#,,data/raw_md/apidoc/DevExpress.ExpressApp.SystemModule/ListViewFilterAttribute/#ctor1134775,#ctor1134775::1,True,C#,,0.9876,api→api,"Criteria, List View, View Types, Views",,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.SystemModule/ListViewFilterAttribute/#ctor1130723,#ctor1130723::1,True,C#,,data/raw_md/apidoc/DevExpress.ExpressApp.SystemModule/ListViewFilterAttribute/#ctor1130726,#ctor1130726::1,True,C#,,0.9788,api→api,"Criteria, List View, View Types, Views",,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.SystemModule/ListViewFilterAttribute/#ctor1130723,#ctor1130723::1,True,C#,,data/raw_md/apidoc/DevExpress.ExpressApp.SystemModule/ListViewFilterAttribute/#ctor1130725,#ctor1130725::1,True,C#,,0.9665,api→api,"Criteria, List View, View Types, Views",,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.SystemModule/ListViewFilterAttribute/#ctor1130723,#ctor1130723::1,True,C#,,data/raw_md/apidoc/DevExpress.ExpressApp.SystemModule/ListViewFilterAttribute/#ctor1130724,#ctor1130724::1,True,C#,,0.9116,api→api,"Criteria, List View, View Types, Views",,,concept_overlap,True
data/raw_md/apidoc/DevExpress.ExpressApp.SystemModule/ListViewFilterAttribute/#ctor1130723,#ctor1130723::1,True,C#,,data/raw_md/apidoc/DevExpress.ExpressApp.SystemModule/ListViewFilterAttribute/Criteria1134777,Criteria1134777::1,True,Criteria1134777,,0.8276,api→api,"Criteria, List View, View Types, Views",,,concept_overlap,True
